Name;Verein;Pos;Preis;PI_2016;DN_2016
Zulj;Hoffenheim;MIT;1,2;;
Zuber;Hoffenheim;ABW;2,6;83;3,3
Zoller;Köln;STU;1,6;12;4
Zimmermann;Stuttgart;MIT;1,8;;
Zimmermann;E. Frankfurt;TOR;0,6;;
Zimmer;Stuttgart;ABW;1,6;;
Zieler;Stuttgart;TOR;2,4;;
Ziegele;Wolfsburg;ABW;0,2;0;
Zhang;Bremen;STU;1;;
Zetterer;Bremen;TOR;0,7;0;
Zentner;Mainz;TOR;0,3;;
Zakaria;Gladbach;MIT;2,4;;
Zagadou;Dortmund;ABW;0,6;;
Yurchenko;Leverkusen;MIT;0,7;4;3,5
Yatabaré;Bremen;MIT;0,5;-10;5,3
Wright;Schalke;STU;0,4;0;
Wood;HSV;STU;2,4;-5;4,2
Wolf;E. Frankfurt;MIT;0,8;7;3,3
William;Wolfsburg;ABW;1,8;;
Werner;Leipzig;STU;6,4;236;2,8
Werner;Stuttgart;MIT;1,2;0;
Wendt;Gladbach;ABW;2,5;68;3,5
Wendell;Leverkusen;ABW;2,2;26;3,8
Weiser;Hertha;MIT;3,2;68;3,1
Weigl;Dortmund;MIT;4,8;78;3,3
Weidenfeller;Dortmund;TOR;1;14;3,5
Waldschmidt;HSV;STU;0,8;-7;4,9
Walace;HSV;MIT;1,6;-20;4,7
Wagner;Hoffenheim;STU;4,8;142;3,2
Volland;Leverkusen;STU;4,5;46;3,6
Vogt;Hoffenheim;ABW;2,8;115;3,1
Villalba;Gladbach;STU;0,2;;
Vieirinha;Wolfsburg;MIT;2;-26;4,4
Vidal;Bayern;MIT;7;75;3,4
Vestergaard;Gladbach;ABW;3,5;99;3,4
Verhaegh;Augsburg;ABW;2;41;3,8
Veljkovic;Bremen;ABW;1,5;36;3,6
Uth;Hoffenheim;STU;2,7;84;3,1
Usami;Augsburg;MIT;1,5;0;4,3
Upamecano;Leipzig;ABW;1,5;16;3,6
Ulreich;Bayern;TOR;1;22;3,1
Uduokhai;Wolfsburg;ABW;0,8;;
Uchida;Schalke;ABW;1,5;0;
Tschauner;Hannover;TOR;1,8;;
Träsch;Wolfsburg;ABW;1,6;9;3,8
Traoré;Gladbach;MIT;2,2;47;3,1
Torunarigha;Hertha;ABW;1,2;13;3,9
Toprak;Dortmund;ABW;3,6;57;3,5
Toljan;Hoffenheim;ABW;2;40;3,5
Tolisso;Bayern;MIT;4,8;;
Thommy;Augsburg;MIT;1;;
Thoelke;HSV;ABW;1,5;;
Thiago;Bayern;MIT;8;172;2,7
Terrazzino;Hoffenheim;MIT;1,5;22;3,4
Terodde;Stuttgart;STU;2,7;;
Tekpetey;Schalke;MIT;0,3;2;
Teigl;Augsburg;MIT;0,8;7;4
Tawatha;E. Frankfurt;ABW;1,6;2;4,1
Tah;Leverkusen;ABW;2,8;69;3,1
Szalai;Hoffenheim;STU;2,4;73;3,1
Sverko;Mainz;ABW;0,7;0;
Süle;Bayern;ABW;3,6;142;3
Subotic;Dortmund;ABW;1,5;21;3,5
Strobl;Gladbach;MIT;1,5;10;3,9
Stolz;Hoffenheim;TOR;0,6;0;
Stocker;Hertha;MIT;2;22;3,8
Stindl;Gladbach;STU;5,5;142;3,2
Stenzel;Freiburg;ABW;1,8;36;3,6
Stendera;E. Frankfurt;MIT;1,7;2;3,8
Stefaniak;Wolfsburg;MIT;1,5;;
Stark;Hertha;ABW;3;90;3,3
Stanko;Freiburg;MIT;1;;
Stambouli;Schalke;MIT;2;-8;4,2
Stafylidis;Augsburg;ABW;2;61;3,7
Söyüncü;Freiburg;ABW;2;46;3,6
Sorg;Hannover;ABW;1,5;;
Sörensen;Köln;ABW;2,4;73;3,5
Sommer;Gladbach;TOR;3,7;155;3
Sokratis;Dortmund;ABW;4;117;3,1
Skjelbred;Hertha;MIT;2,4;63;3,4
Skenderovic;Hoffenheim;STU;0,3;;
Sippel;Gladbach;TOR;0,8;0;
Simakala;Gladbach;STU;0,2;1;
Sierro;Freiburg;MIT;0,6;0;
Seydel;Mainz;STU;1,4;3;3,5
Serdar;Mainz;MIT;1,5;9;3,9
Seo;HSV;ABW;0,2;0;
Selke;Hertha;STU;2,6;22;4,1
Seguin;Wolfsburg;MIT;1,7;13;3,9
Schwolow;Freiburg;TOR;3,5;190;2,8
Schwegler;Hannover;MIT;1,8;15;3,4
Schuster;Freiburg;MIT;1,2;16;3,7
Schürrle;Dortmund;STU;3,5;42;3,4
Schulz;Hoffenheim;ABW;1,8;30;3,3
Schreck;Leverkusen;MIT;0,2;0;
Schöpf;Schalke;MIT;2,7;72;3,6
Schmitz;Leipzig;ABW;1;25;3,6
Schmiedebach;Hannover;MIT;2;;
Schmidt;Bremen;MIT;0,2;0;
Schmid;Augsburg;MIT;1,6;2;4,1
Schmelzer;Dortmund;ABW;2,8;82;3,2
Schipplock;HSV;STU;1,4;-15;4,4
Schieber;Hertha;STU;1,2;16;4,4
Schär;Hoffenheim;ABW;1,4;-5;4,2
Sarpei;Stuttgart;MIT;0,4;;
Sarenren Bazee;Hannover;MIT;1,4;;
Sané;Hannover;ABW;2,4;;
Sané;Bremen;ABW;1,8;29;3,8
Sam;Schalke;MIT;1,1;19;3,9
Salcedo;E. Frankfurt;ABW;2,2;;
Sakai;HSV;ABW;1,3;5;4,1
Sahin-Radlinger;Hannover;TOR;0,3;;
Sahin;Dortmund;MIT;2,5;15;3
Sabitzer;Leipzig;MIT;6;159;3,1
Russ;E. Frankfurt;ABW;1,5;-1;4,2
Rupp;Hoffenheim;MIT;2;38;3,3
Rudy;Bayern;MIT;4,5;169;2,9
Rudnevs;Köln;STU;1,5;43;3,4
Ronstadt;HSV;MIT;0,2;0;
Rode;Dortmund;MIT;2;-7;4,4
Robben;Bayern;MIT;8,5;227;2,4
Ritzka;Hannover;ABW;0,2;;
Risse;Köln;MIT;2,7;62;3
Risa;Köln;STU;0,2;0;
Rieder;Augsburg;MIT;0,2;-1;4,5
Richter;Augsburg;MIT;0,2;;
Ribery;Bayern;MIT;7,2;128;2,6
Reus;Dortmund;MIT;7;117;2,9
Renato Sanches;Bayern;MIT;2,6;1;4,2
Rekik;Hertha;ABW;2,4;;
Reimann;Dortmund;TOR;0,2;;
Regäsel;E. Frankfurt;ABW;0,5;0;
Reese;Schalke;STU;0,6;0;4,5
Rausch;Köln;MIT;2,2;34;3,7
Ramalho;Leverkusen;ABW;1,2;26;3,6
Rafinha;Bayern;ABW;2;47;3,3
Raffael;Gladbach;STU;4,8;77;3,3
Quaison;Mainz;MIT;0,6;15;3,8
Pulisic;Dortmund;MIT;2,6;68;3,4
Prib;Hannover;MIT;1,8;;
Poulsen;Leipzig;STU;3,4;114;3,1
Posch;Hoffenheim;ABW;0,2;0;
Porath;HSV;MIT;0,3;1;
Pollersbeck;HSV;TOR;1,8;;
Polanski;Hoffenheim;MIT;1,8;21;3,5
Pohjanpalo;Leverkusen;STU;1,6;37;3,2
Plattenhardt;Hertha;ABW;3,2;95;3,4
Platte;Schalke;STU;0,8;27;3,4
Piszczek;Dortmund;ABW;3,5;101;3,3
Philipp;Dortmund;STU;3;110;3,2
Petsos;Bremen;MIT;0,8;1;4
Petersen;Freiburg;STU;2,4;83;3,5
Pekarik;Hertha;ABW;2,4;47;3,7
Pavlenka;Bremen;TOR;2,2;;
Pavard;Stuttgart;ABW;1,8;;
Passlack;Dortmund;ABW;1,2;4;4
Parker;Augsburg;MIT;0,3;0;
Park;Dortmund;ABW;0,6;-3;5
Papadopoulos;HSV;ABW;2,8;70;3,1
Palacios Martinez;Leipzig;STU;0,3;-3;4,5
Öztunali;Mainz;MIT;2;53;3,8
Özcan;Stuttgart;MIT;1,2;;
Özcan;Leverkusen;TOR;1;0;
Özcan;Köln;MIT;0,6;8;4
Oxford;Gladbach;ABW;1,8;;
Ostrzolek;Hannover;ABW;1,7;5;4
Osimhen;Wolfsburg;STU;0,6;-2;4,5
Osako;Köln;STU;3,2;136;3,1
Orban;Leipzig;ABW;3;127;3
Opare;Augsburg;ABW;0,8;0;
Onisiwo;Mainz;STU;1;3;4,1
Onguené;Stuttgart;ABW;1,5;;
Olkowski;Köln;ABW;1,5;26;3,5
Ofori;Stuttgart;MIT;1,8;;
Oczipka;Schalke;ABW;2,5;94;3,4
Ochs;Hoffenheim;MIT;0,6;-3;4,5
Nübel;Schalke;TOR;0,5;0;
Ntep;Wolfsburg;MIT;2;14;3,7
Nordtveit;Hoffenheim;ABW;2,5;;
Niedermeier;Freiburg;ABW;1,4;0;5
Niederlechner;Freiburg;STU;2,7;119;3,4
Nicolas;Gladbach;TOR;0,2;0;
Neuer;Bayern;TOR;4,5;147;2,9
Ndenge;Gladbach;MIT;0,3;0;
Nastasic;Schalke;ABW;3;43;3,5
Nartey;Köln;MIT;0,8;;
Naldo;Schalke;ABW;3,2;48;3,4
Mvogo;Leipzig;TOR;1,8;;
Muto;Mainz;STU;2,4;48;3,5
Müller;Bayern;MIT;7;94;3,4
Müller;HSV;MIT;3;59;3,8
Müller;Köln;TOR;0,2;6;3
Müller;Mainz;TOR;0,2;0;
Moravek;Augsburg;MIT;0,8;2;4,1
Mor;Dortmund;MIT;1,6;6;3,9
Moisander;Bremen;ABW;2,6;68;3,4
Mittelstädt;Hertha;ABW;0,7;-1;4,3
Mickel;HSV;TOR;0,4;8;2
Meyer;Schalke;MIT;3;44;3,6
Merino;Dortmund;MIT;1;2;4,2
Menzel;Wolfsburg;TOR;0,2;;
Meier;E. Frankfurt;STU;2,4;42;3,7
Mehmedi;Leverkusen;STU;1,4;-7;4,3
Meffert;Freiburg;MIT;0,8;0;4
Medojevic;E. Frankfurt;MIT;0,6;0;
McKennie;Schalke;MIT;0,5;1;
Mbouhom;E. Frankfurt;STU;0,2;;
Maxim;Mainz;MIT;2,2;;
Max;Augsburg;ABW;1,5;9;4
Mavraj;HSV;ABW;2,4;56;3,5
Mathenia;HSV;TOR;2,2;74;2,9
Mascarell;E. Frankfurt;MIT;1,7;68;3,4
Maroh;Köln;ABW;1,6;10;3,8
Manneh;Bremen;STU;0,6;7;3,8
Mangala;Stuttgart;MIT;0,6;;
Malli;Wolfsburg;MIT;3,5;67;3,8
Maier;Hannover;MIT;1,6;;
Maier;Hertha;MIT;0,5;1;
Luthe;Augsburg;TOR;1;24;2
Lustenberger;Hertha;MIT;2;31;3,6
Lomb;Leverkusen;TOR;0,2;0;
Lienhart;Freiburg;ABW;1,8;;
Lewandowski;Bayern;STU;8,5;291;2,7
Leno;Leverkusen;TOR;4,2;187;2,8
Leitner;Augsburg;MIT;0,8;4;3,8
Lehmann;Köln;MIT;2,5;72;3,2
Leckie;Hertha;MIT;1,8;-11;4,1
Latza;Mainz;MIT;2,6;71;3,4
Lasogga;HSV;STU;1,8;-6;4,9
Larsen;Dortmund;MIT;0,5;0;
Langkamp;Hertha;ABW;2,8;83;3,2
Langerak;Stuttgart;TOR;1,8;;
Laimer;Leipzig;MIT;2,5;;
Kurt;Hertha;STU;0,5;2;
Kühn;Leipzig;MIT;0,2;;
Kübler;Freiburg;ABW;1,2;11;3,8
Kruse;Bremen;STU;5,5;175;2,8
Kramer;Gladbach;MIT;3,2;65;3,3
Kramaric;Hoffenheim;STU;6;187;3
Kraft;Hertha;TOR;1;0;
Kostic;HSV;MIT;2,5;5;4,2
Korb;Hannover;ABW;1,6;9;3,8
Koo;Augsburg;MIT;2;6;4
Konoplyanka;Schalke;MIT;2,8;27;3,7
Konaté;Leipzig;ABW;0,5;;
Kolodziejczak;Gladbach;ABW;1,6;1;
Kohr;Leverkusen;MIT;2;41;3,6
Köhn;Leipzig;TOR;0,2;;
Köhlert;HSV;MIT;0,2;0;
Kodro;Mainz;STU;2,2;;
Kobel;Hoffenheim;TOR;0,2;0;
Knothe;E. Frankfurt;ABW;0,2;0;
Knoche;Wolfsburg;ABW;1,8;30;3,7
Klünter;Köln;ABW;2;45;2,9
Klostermann;Leipzig;ABW;1,6;4;3
Klinsmann;Hertha;TOR;0,2;;
Klement;Mainz;MIT;0,7;0;
Kleindienst;Freiburg;STU;0,6;;
Klaus;Hannover;MIT;2;;
Klandt;Freiburg;TOR;0,6;0;
Kimmich;Bayern;ABW;4,2;65;3,5
Kießling;Leverkusen;STU;2,5;48;3,3
Khedira;Augsburg;MIT;1,5;13;3
Kessler;Köln;TOR;0,8;51;3,2
Kempf;Freiburg;ABW;1,5;3;3,9
Keita;Leipzig;MIT;7,5;199;2,8
Kehrer;Schalke;ABW;1,8;21;3,7
Kath;Freiburg;MIT;0,7;;
Karaman;Hannover;MIT;1,8;;
Kapustka;Freiburg;MIT;1,4;;
Kampl;Leverkusen;MIT;3,2;77;3,4
Kaminski;Stuttgart;ABW;1,8;;
Kamada;E. Frankfurt;MIT;0,8;;
Kalou;Hertha;STU;2,8;46;3,9
Kaiser;Leipzig;MIT;1,8;40;3,4
Kainz;Bremen;MIT;2;32;3
Kagawa;Dortmund;MIT;4,2;66;3,2
Kaderabek;Hoffenheim;ABW;2,5;89;3,1
Kade;Hertha;MIT;0,2;1;
Kacar;Augsburg;MIT;1,2;-5;4,2
Junuzovic;Bremen;MIT;4;114;3,3
Jung;Wolfsburg;ABW;1,4;-1;4,1
Jung;HSV;ABW;1;-23;4,2
Juan Bernat;Bayern;ABW;2,4;59;3,2
Jovic;E. Frankfurt;STU;1,8;;
José Rodriguez;Mainz;MIT;0,8;-4;
Jojic;Köln;MIT;2,2;58;3,4
Johnson;Gladbach;MIT;2,4;42;3,6
Johannsson;Bremen;STU;1;2;4,2
Joao Queiros;Köln;ABW;0,8;;
Ji;Augsburg;MIT;1,6;24;4
Jedvaj;Leverkusen;ABW;1,8;16;3,8
Javi Martinez;Bayern;ABW;4,3;111;3
Jatta;HSV;MIT;0,5;1;4,3
Jarstein;Hertha;TOR;4;204;2,8
Jantschke;Gladbach;ABW;2;45;3,4
Janker;Augsburg;ABW;0,8;3;4
Janjicic;HSV;MIT;0,6;4;3,8
James;Bayern;MIT;8;;
Jairo;Mainz;MIT;2,4;10;4,1
Itter;Wolfsburg;ABW;0,5;0;
Isak;Dortmund;STU;1,2;0;
Insua;Stuttgart;ABW;2,5;;
Insua;Schalke;ABW;1,8;;
Ilsanker;Leipzig;MIT;2,5;88;3,3
Ignjovski;Freiburg;ABW;1,5;7;4
Ibisevic;Hertha;STU;3;107;3,5
Huth;Mainz;TOR;0,8;26;3,2
Hunt;HSV;MIT;2,2;38;3,9
Hummels;Bayern;ABW;4,5;127;2,8
Hübner;Hoffenheim;ABW;3;122;3
Hübner;Hannover;ABW;0,8;;
Hübers;Hannover;ABW;0,2;;
Hrgota;E. Frankfurt;STU;2;27;4
Hradecky;E. Frankfurt;TOR;3,6;161;2,9
Höwedes;Schalke;ABW;3;76;3,4
Horn;Köln;TOR;3,5;129;2,6
Horn;Köln;ABW;1,8;15;3,7
Hoogma;Hoffenheim;ABW;0,6;;
Holtmann;Mainz;ABW;1,2;7;3,5
Holtby;HSV;MIT;2;-8;4,2
Höger;Köln;MIT;2,7;83;3,2
Hofmann;Gladbach;MIT;1,8;12;3,9
Höfler;Freiburg;MIT;2;58;3,5
Hitz;Augsburg;TOR;3,6;153;3
Hirzel;HSV;TOR;0,2;0;
Hinteregger;Augsburg;ABW;2,6;92;3,5
Hinds;Wolfsburg;STU;0,6;;
Herrmann;Gladbach;MIT;3,4;28;3,6
Henrichs;Leverkusen;ABW;2;39;3,7
Hemmerich;Schalke;MIT;0,3;;
Heller;Augsburg;MIT;2;47;3,8
Heintz;Köln;ABW;2,7;96;3,3
Heimeroth;Gladbach;TOR;0,2;0;
Hector;Köln;MIT;3,8;124;3,1
Hazard;Gladbach;STU;2,7;67;3,5
Havertz;Leverkusen;MIT;3;75;3,4
Hasebe;E. Frankfurt;ABW;2;64;3,3
Harnik;Hannover;STU;2,4;;
Harit;Schalke;MIT;3;;
Haraguchi;Hertha;MIT;2;39;3,8
Handwerker;Leverkusen;ABW;0,2;;
Halstenberg;Leipzig;ABW;2,6;81;3,4
Haller;E. Frankfurt;STU;2,8;;
Hajrovic;Bremen;MIT;0,8;18;3,6
Hahn;HSV;STU;2,8;24;4
Hack;Mainz;ABW;1,5;15;3,7
Hack;Hoffenheim;STU;0,2;;
Haberer;Freiburg;MIT;2,2;56;3,6
Günther-Schmidt;Augsburg;STU;0,2;0;4,5
Günter;Freiburg;ABW;1,8;35;3,7
Gulde;Freiburg;ABW;1,7;27;3,7
Gulacsi;Leipzig;TOR;3,2;164;2,9
Guirassy;Köln;STU;1;6;
Guilavogui;Wolfsburg;MIT;2;29;3,6
Guerreiro;Dortmund;ABW;3,5;100;3,2
Guedé;Freiburg;STU;0,5;-1;4,3
Grün;Wolfsburg;TOR;0,5;0;
Grillitsch;Hoffenheim;MIT;1,6;30;3,8
Grifo;Gladbach;MIT;4,2;137;3,2
Grgic;Stuttgart;MIT;1,8;;
Gregoritsch;Augsburg;MIT;1,8;37;4
Green;Stuttgart;STU;1,5;0;
Grahl;Stuttgart;TOR;0,3;;
Gouweleeuw;Augsburg;ABW;2,2;70;3,2
Gouaida;HSV;MIT;0,4;;
Götze;Dortmund;MIT;5,5;33;3,3
Götze;Bayern;ABW;0,4;0;
Goretzka;Schalke;MIT;4,8;123;3,2
Gondorf;Bremen;MIT;2,5;62;3,7
Gomez;Wolfsburg;STU;5,5;96;3,7
Gnabry;Hoffenheim;STU;3,4;111;3,3
Ginter;Gladbach;ABW;3,2;49;3,6
Ginczek;Stuttgart;STU;2;;
Gikiewicz;Freiburg;TOR;0,8;0;
Giefer;Augsburg;TOR;1;0;
Gerhardt;Wolfsburg;ABW;2,5;17;3,9
Gentner;Stuttgart;MIT;3;;
Gelios;Augsburg;TOR;0,2;0;
Geis;Schalke;MIT;2,6;23;3,7
Geiger;Hoffenheim;MIT;0,2;0;
Gebre Selassie;Bremen;ABW;2;41;3,9
Gbamin;Mainz;MIT;1,8;29;3,6
Garcia;Bremen;MIT;0,4;-17;5,3
Gacinovic;E. Frankfurt;MIT;1,8;18;3,9
Füllkrug;Hannover;STU;2;;
Früchtl;Bayern;TOR;0,2;;
Friedrich;Augsburg;ABW;0,8;0;
Friedl;Bayern;ABW;0,2;0;
Frey;Leverkusen;MIT;0,4;;
Frei;Mainz;MIT;2;36;3,6
Frantz;Freiburg;MIT;2,4;79;3,3
Framberger;Augsburg;ABW;0,3;6;3,5
Fossum;Hannover;MIT;1,2;;
Forsberg;Leipzig;MIT;8;216;2,7
Fischer;Mainz;STU;2,3;;
Finnbogason;Augsburg;STU;2;31;3,5
Fernandes;E. Frankfurt;MIT;2,3;;
Felipe;Hannover;ABW;0,4;;
Fährmann;Schalke;TOR;4;175;2,9
Fabian;E. Frankfurt;MIT;2,8;96;3,4
Esswein;Hertha;MIT;1,8;18;4,1
Esser;Hannover;TOR;2,2;153;2,8
Emghames;Hannover;STU;0,2;;
Embolo;Schalke;STU;4,2;23;3,4
Elvedi;Gladbach;ABW;2;34;3,6
Ekdal;HSV;MIT;1,5;-24;4,4
Eilers;Bremen;STU;0,7;0;
Eggest., M.;Bremen;MIT;1,4;27;3,5
Eggest., J.;Bremen;STU;0,5;0;
Durm;Dortmund;ABW;1,6;19;3,6
Duda;Hertha;MIT;2;-3;5
Drobny;Bremen;TOR;0,4;16;3,5
Drmic;Gladbach;STU;1,5;8;4,5
Dragovic;Leverkusen;ABW;1,8;9;3,9
Douglas Santos;HSV;ABW;1,5;-5;4,1
Doucouré;Gladbach;ABW;0,6;0;
Dorsch;Bayern;MIT;0,2;0;
Donis;Stuttgart;STU;1,7;;
Donati;Mainz;ABW;2,2;60;3,5
Dimata;Wolfsburg;STU;2,5;;
Diekmeier;HSV;ABW;1,2;-7;4,1
Didavi;Wolfsburg;MIT;3,4;53;3,6
Diallo;Mainz;ABW;2;;
di Santo;Schalke;STU;1,8;7;4,1
Demme;Leipzig;MIT;3,5;127;3,1
Demirbay;Hoffenheim;MIT;4;161;2,9
Demir;Hannover;STU;0,2;;
Dembelé;Dortmund;MIT;8;171;2,8
Delaney;Bremen;MIT;3;67;3,1
de Guzman;E. Frankfurt;MIT;2;;
De Blasis;Mainz;STU;2,5;67;3,6
Darida;Hertha;MIT;2,6;34;3,7
Dardai;Hertha;MIT;0,2;0;
Danso;Augsburg;ABW;0,7;-3;4,1
Dahoud;Dortmund;MIT;5;79;3,5
Dadashov;E. Frankfurt;STU;0,2;;
da Costa;E. Frankfurt;ABW;1,5;1;4
Cuisance;Gladbach;MIT;0,5;;
Cordova;Augsburg;MIT;0,7;;
Cordoba;Köln;STU;3,2;87;3,4
Compper;Leipzig;ABW;2,7;93;3,2
Coman;Bayern;MIT;3,6;48;3,3
Coltorti;Leipzig;TOR;0,6;2;4
Coke;Schalke;ABW;2,5;8;3,9
Clemens;Köln;MIT;1,6;-4;4,2
Ciftci;Köln;MIT;0,2;0;
Chicharito;Leverkusen;STU;4;86;3,5
Chandler;E. Frankfurt;ABW;2;75;3,4
Castro;Dortmund;MIT;5;95;3,3
Casteels;Wolfsburg;TOR;2,8;102;3
Carlos Mané;Stuttgart;MIT;2;;
Camacho;Wolfsburg;MIT;2,5;;
Callsen-Bracker;Augsburg;ABW;1;1;
Caligiuri;Schalke;MIT;2,5;33;3,9
Caldirola;Bremen;ABW;1,6;0;4
Caiuby;Augsburg;MIT;1,8;5;3,7
Bussmann;Mainz;ABW;1,6;9;3,8
Burnic;Stuttgart;MIT;0,8;-4;5
Bürki;Dortmund;TOR;3,7;162;2,7
Burke;Leipzig;MIT;1,7;28;3,8
Burgstaller;Schalke;STU;4,2;86;3,4
Bungert;Mainz;ABW;1,8;24;3,5
Bulut;Freiburg;MIT;1;8;4,1
Bruma;Leipzig;MIT;3;;
Bruma;Wolfsburg;ABW;2,6;42;3,5
Brosinski;Mainz;ABW;2;54;3,6
Brooks;Wolfsburg;ABW;3;83;3,3
Brekalo;Stuttgart;MIT;1,4;4;
Brasnic;Leverkusen;STU;0,2;;
Brandt;Leverkusen;MIT;3,6;102;3,4
Bobadilla;Augsburg;STU;2,5;77;3,1
Boateng;Bayern;ABW;4,2;40;3,1
Blum;E. Frankfurt;MIT;1;22;3,5
Blaszczykowski;Wolfsburg;MIT;2,2;11;4
Bittencourt;Köln;MIT;2,8;78;3
Bicakcic;Hoffenheim;ABW;1,8;48;3,3
Besuschkow;E. Frankfurt;MIT;0,7;0;4,5
Bernardo;Leipzig;ABW;2,5;50;3,4
Berggreen;Mainz;STU;0,8;0;
Bentaleb;Schalke;MIT;3;85;3,5
Benschop;Hannover;STU;0,4;;
Benko;Bayern;MIT;0,2;0;
Benes;Gladbach;MIT;1,2;20;3,3
Bender;Leverkusen;ABW;2,5;13;3,3
Bender;Leverkusen;MIT;2,5;13;3,7
Bellarabi;Leverkusen;MIT;3,2;36;3,6
Bell;Mainz;ABW;2,6;102;3,4
Behounek;HSV;ABW;0,2;0;
Bech;Hannover;MIT;0,8;;
Bazoer;Wolfsburg;MIT;1,8;1;4
Baumgartlinger;Leverkusen;MIT;2,2;28;3,7
Baumgartl;Stuttgart;ABW;2;;
Baumann;Hoffenheim;TOR;4;191;2,8
Bauer;Bremen;ABW;1,8;29;3,8
Bätge;E. Frankfurt;TOR;0,2;0;
Bartra;Dortmund;ABW;2,8;39;3,5
Bartels;Bremen;STU;3;137;3,2
Barkok;E. Frankfurt;MIT;1,4;18;4
Bargfrede;Bremen;MIT;1,4;24;3,3
Balogun;Mainz;ABW;1,8;23;3,7
Baller;Hannover;MIT;0,2;;
Bakalorz;Hannover;MIT;1,6;;
Bailey;Leverkusen;MIT;1,7;11;3
Baier;Augsburg;MIT;2,4;87;3,3
Bähre;Hannover;MIT;0,2;;
Bahoui;HSV;MIT;0,5;0;4
Baak;Hertha;ABW;0,3;2;
Azzaoui;Wolfsburg;MIT;0,4;0;
Aycicek;Bremen;MIT;0,8;;
Avdijaj;Schalke;MIT;0,8;5;4,5
Augustinsson;Bremen;ABW;2,2;;
Augustin;Leipzig;STU;2,7;;
Aubameyang;Dortmund;STU;8,5;215;3,1
Asano;Stuttgart;MIT;2,5;;
Arnold;Wolfsburg;MIT;2,6;15;4
Aranguiz;Leverkusen;MIT;2,6;8;4
Anton;Hannover;ABW;1,8;;
Andersson Ordonez;E. Frankfurt;ABW;0,8;1;4
Amiri;Hoffenheim;MIT;3;99;3,1
Altintas;HSV;STU;0,4;;
Albornoz;Hannover;ABW;1,4;;
Alaba;Bayern;ABW;4,3;111;3,3
Akpoguma;Hoffenheim;ABW;0,8;;
Akolo;Stuttgart;MIT;2,6;;
Akkaynak;Leverkusen;MIT;0,2;0;
Ailton;Stuttgart;ABW;1;;
Adler;Mainz;TOR;3,2;86;3,1
Abu Hanna;Leverkusen;ABW;0,2;0;
Abrashi;Freiburg;MIT;1,7;29;3,7
Abraham;E. Frankfurt;ABW;2,5;92;3,3
Abouchabaka;Leipzig;MIT;0,2;;
